"species" "lat.breeding" "lon.breeding" "lat.nonbreeding" "lon.nonbreeding"
"77" "Patagioenas_speciosa" -4.175656482 -62.90973139 -4.175656482 -62.90973139
"78" "Patagioenas_subvinacea" -2.596714058 -64.40103464 -2.596714058 -64.40103464
"79" "Petrophassa_albipennis" -16.01955115 127.4184481 -16.01955115 127.4184481
"80" "Phapitreron_amethystinus" 8.035322 124.5352 8.035322 124.5352
"81" "Phapitreron_leucotis" 11.84476083 123.0972267 11.84476083 123.0972267
"82" "Phaps_chalcoptera" -26.87376739 135.7063278 -26.87376739 135.7063278
"83" "Ramphiculus_leclancheri" 10.806247 123.18476 10.806247 123.18476
"84" "Megaloprepia_magnifica" -21.833585 148.325666 -21.833585 148.325666
"85" "Ptilinopus_melanospilus" -2.225836 120.558309 -2.225836 120.558309
"86" "Ramphiculus_occipitalis" 11.86631246 123.0963497 11.86631246 123.0963497
"87" "Ptilinopus_pulchellus" -4.753802552 140.8499377 -4.753802552 140.8499377
"88" "Ptilinopus_regina" -18.6088774 141.2396062 -18.6088774 141.2396062
"89" "Ptilinopus_richardsii" -11.612243 160.189204 -11.612243 160.189204
"90" "Ptilinopus_rivoli" -5.047871868 142.469876 -5.047871868 142.469876
"91" "Ptilinopus_solomonensis" -4.153445 142.605066 -5.900851076 151.9408767
"92" "Ptilinopus_superbus" -4.830939936 138.0672412 -4.830939936 138.0672412
"93" "Reinwardtoena_browni" -5.44195 151.38951 -5.44195 151.38951
"94" "Spilopelia_senegalensis" 10.53062778 36.7396895 10.53062778 36.7396895
"95" "Streptopelia_bitorquata" -7.429219 110.711613 -7.429219 110.711613
"96" "Streptopelia_capicola" -13.32143107 28.55241157 -13.32143107 28.55241157
"97" "Streptopelia_decaocto" 41.20767762 56.39172294 41.20767762 56.39172294
"98" "Streptopelia_decipiens" 4.035226833 20.03525206 4.035226833 20.03525206
"99" "Streptopelia_hypopyrrha" 8.2931771 10.79798478 8.2931771 10.79798478
"100" "Streptopelia_orientalis" 54.2272537 106.5528099 25.47033594 78.00446135
"101" "Streptopelia_roseogrisea" 16.61429618 10.10197439 16.61429618 10.10197439
"102" "Streptopelia_semitorquata" -4.314124595 21.67888715 -4.314124595 21.67888715
"103" "Streptopelia_tranquebarica" 30.96035841 71.37541876 30.96035841 71.37541876
"104" "Streptopelia_turtur" 47.15688104 42.25620812 12.8045242 14.42619268
"105" "Streptopelia_vinacea" 10.63561934 12.00826406 10.63561934 12.00826406
"106" "Treron_australis" -19.47799146 46.67822091 -19.47799146 46.67822091
"107" "Treron_sieboldii" 40.16121532 140.826108 40.16121532 140.826108
"108" "Treron_vernans" -3.097497 105.488674 -3.097497 105.488674
"109" "Treron_waalia" 17.39354975 44.45142911 17.39354975 44.45142911
"110" "Trugon_terrestris" -5.38672244 140.8827673 -5.38672244 140.8827673
"111" "Turacoena_manadensis" -2.114039128 121.314968 -2.114039128 121.314968
"112" "Turtur_afer" 13.47112372 -0.375108763 13.47112372 -0.375108763
"113" "Turtur_brehmeri" 2.436979524 13.68632773 2.436979524 13.68632773
"114" "Turtur_chalcospilos" -11.04283315 31.74560072 -11.04283315 31.74560072
"115" "Turtur_tympanistria" -4.632250909 23.52479483 -4.632250909 23.52479483
"116" "Uropelia_campestris" -13.73394544 -50.71737267 -13.73394544 -50.71737267
"117" "Zenaida_asiatica" 31.28752696 -105.5305581 22.36023424 -92.26796228
"118" "Zenaida_auriculata" -22.53682899 -59.77515263 -22.53682899 -59.77515263
"119" "Zenaida_aurita" 20.41386361 -75.4588301 20.41386361 -75.4588301
"120" "Zenaida_galapagoensis" -0.541099273 -90.89218111 -0.541099273 -90.89218111
"121" "Zenaida_graysoni" 18.786302 -110.973959 18.786302 -110.973959
"122" "Zenaida_macroura" 49.79294971 -103.8181209 17.40086494 -92.85411538
"123" "Zenaida_meloda" -11.48632708 -76.15012162 -11.48632708 -76.15012162
